symbol,ltp,bid_price,ask_price,volume,open,high,low,previous_close,change,change_percent,average_traded_price,ltq,atp,bid_quantity,ask_quantity,total_bid_quantity,total_ask_quantity,liquidity_pass,volume_liquidity_pass,depth_ltp,depth_volume,depth_atp,spread_percent,depth_available,spread_pass
NSE:GOLDADD-EQ,148.59,0.0,0.0,2068223,147.98,148.72,147.62,147.61,0.98,0.66,148.3,101.0,148.3,0.0,0.0,0.0,0.0,False,True,,,,,,
NSE:GOLDBEES-EQ,126.45,126.45,0.0,18273875,125.83,126.54,125.76,125.52,0.93,0.74,126.19,17.0,126.19,53996.0,0.0,53996.0,0.0,False,True,,,,,,
NSE:GOLDETF-EQ,148.52,148.52,0.0,1579799,147.85,149.44,147.82,147.57,0.95,0.64,148.31,5.0,148.31,60.0,0.0,60.0,0.0,False,True,,,,,,
NSE:GOLDIETF-EQ,131.06,131.06,0.0,4669000,130.16,131.18,126.9,130.16,0.9,0.69,130.76,4.0,130.76,7.0,0.0,7.0,0.0,False,True,,,,,,
NSE:GPIL-EQ,228.99,0.0,228.99,1651494,234.18,234.95,228.31,232.18,-3.19,-1.37,230.56,25.0,230.56,0.0,84.0,0.0,84.0,False,True,,,,,,
NSE:GREAVESCOT-EQ,193.76,0.0,193.76,1212348,198.1,198.49,190.57,197.78,-4.02,-2.03,194.09,1.0,194.09,0.0,2300.0,0.0,2300.0,False,True,,,,,,
NSE:GRMOVER-EQ,91.38,0.0,0.0,1610382,94.84,96.49,90.02,94.19,-2.81,-2.98,91.83,1.0,91.83,0.0,0.0,0.0,0.0,False,True,,,,,,
NSE:GROWW-EQ,197.28,197.28,0.0,25335276,193.7,198.0,192.4,193.5,3.78,1.95,195.64,50.0,195.64,1600.0,0.0,1600.0,0.0,False,True,,,,,,
NSE:GUJENERGY-EQ,274.35,274.35,0.0,6836300,299.45,299.45,272.4,274.4,-0.05,-0.02,279.97,15.0,279.97,3398.0,0.0,3398.0,0.0,False,True,,,,,,
NSE:HDFCGOLD-EQ,130.61,130.61,0.0,3549446,131.47,131.47,129.94,129.72,0.89,0.69,130.38,1.0,130.38,1002.0,0.0,1002.0,0.0,False,True,,,,,,
NSE:HDFCSILVER-EQ,225.88,225.88,0.0,3709394,222.6,226.2,222.49,222.6,3.28,1.47,224.64,35.0,224.64,29.0,0.0,29.0,0.0,False,True,,,,,,
NSE:HDFCSML250-EQ,184.44,0.0,184.44,1346528,184.95,186.0,183.5,184.95,-0.51,-0.28,184.93,1.0,184.93,0.0,849.0,0.0,849.0,False,True,,,,,,
NSE:HFCL-EQ,221.52,0.0,221.52,28062533,215.4,223.61,215.0,214.24,7.28,3.4,220.06,100.0,220.06,0.0,12606.0,0.0,12606.0,False,True,,,,,,
NSE:HINDPETRO-EQ,390.0,390.0,0.0,10513694,392.0,393.0,385.8,390.85,-0.85,-0.22,388.9,5.0,388.9,4754.0,0.0,4754.0,0.0,False,True,,,,,,
NSE:HINDWAREAP-EQ,204.88,0.0,204.88,1369339,210.0,210.6,187.0,210.03,-5.15,-2.45,201.92,50.0,201.92,0.0,128.0,0.0,128.0,False,True,,,,,,
